hotel,fecha,puntuacion,nombre,titulo,positivo,negativo
Vitoria,Escrito en 25 de mayo de 2025,Sin puntuación,Anie,“La falta de atención a nuestra solicitud nocturna afectó negativamente a nuestra valoración.”,"El primer punto destacable es la ubicación, que es estupenda. Está a escasos minutos del centro y cuenta con paradas cercanas de autobús y tranvía. 
En cuanto al apartamento, la cocina esta muy bien equipada. La habitación principal es muy espaciosa y la cama es cómoda. El baño está muy limpio y hay toallas de sobra.","Un par de puntos a destacar: 
1. Tanto el sofá cama como las almohadas son muy incómodas, y en nuestro caso, faltaba una de las mesitas de noche de la habitación. 
2. Además, nuestra estancia se vio significativamente afectada por un problema con el aire acondicionado: 
Pasamos la tarde fuera, y al volver al apartamento al anochecer quisimos encender el aire acondicionado para cenar y dormir. Tratamos de ponerlo en marcha y esperar un rato para ver si se encendía, pero nada. Hacia las 21:30 nos pusimos en contacto con recepción a través de WhatsApp para solicitar ayuda, ya que no lo conseguíamos (o no funcionaba). Recibimos una respuesta pidiendo la foto del panel de control del aire acondicionado. Así lo hicimos, y nos respondieron diciendo que pasarían el aviso a la persona que se encontraba en recepción para que nos ayudara indicando que debíamos esperar. Sin embargo, tras esperar más de una hora sin recibir ninguna solución ni contacto por parte del personal, decidimos desistir y avisar de que ya no era necesario que vinieran ya que eran las 23:00 pasadas y queriamos irnos a dormir. Una pena."
Vitoria,Escrito en 24 de mayo de 2025,Sin puntuación,Carlos,“Muy buena”,La habitación espaciosa y los servicios incluidos,"El sistema automático. No por lo automático sino por cierta dificultad que presenta el sistema. Código largo, etc,. Es el camino pero habría que darle una vuelta de tuerca."
Vitoria,Escrito en 24 de mayo de 2025,Sin puntuación,Koldo,“Muy bien”,Si,Todo
Vitoria,Escrito en 24 de mayo de 2025,Sin puntuación,Orenes,“Mala entrada buena estancia”,Apartamento,La gestión de la entrada
Vitoria,Escrito en 23 de mayo de 2025,Sin puntuación,Enol,Muy bien,Las habitaciones,La ubicación
Vitoria,Escrito en 23 de mayo de 2025,Sin puntuación,Maite,Muy bien,La limpieza y la ubicación. Decorado con gusto.,"Muy pocos detalles en el apartamento, menaje escueto, no dejan ni un rollo de servilletas por si lo puedes necesitar."
Vitoria,Escrito en 22 de mayo de 2025,Sin puntuación,Jose,Fantástico,"El apartamento, la ubicación y la app del apartamento",
Vitoria,Escrito en 21 de mayo de 2025,Sin puntuación,Paya,Fantástico,Estaba muy limpio  es cómodo y muy centrico,No había fregona ni escoba y recogedor y falta de mantenimiento
Vitoria,Escrito en 21 de mayo de 2025,Sin puntuación,Silvia,"“Buena ubicación, habitaciones amplias y buen trato.”","Lo mejor fue la ubicación, facilidad en contactar con el alojamiento y la atención del personal. La amplitud de las habitaciones y luminosidad un plus.",EL sofa-cama del apartamento resultó muy incómodo.
Vitoria,Escrito en 21 de mayo de 2025,Sin puntuación,Dolores,“Muy bien”,"El alojamiento en si y la ubicación ...la limpieza,todo muy nuevo",Todo bien
